189181	01310		Buellas		1	82	1	01065	1288	114	0,73	46.21110916	5.13222217			
189182	01510		La Burbanche		1	82	1	01066	56	6	1,41	45.84666824	5.562222			
189183	01430		Ceignes		1	82	1	01067	230	16	1,08	46.12083435	5.49833297			
189184	01450		Cerdon		1	82	1	01068	672	55	0,87	46.08333206	5.46472215			
189185	01240		Certines		1	82	1	01069	1288	58	1,97	46.13360977	5.26444387			
189186	I_01165		Cesseins		1	82	1	01070	0	0	1,85	46.066667	4.833333			
189187	01170		Cessy		1	82	1	01071	2283	276	2,46	46.31750106	6.07166719			
189188	01250		Ceyzériat		1	82	1	01072	2390	220	1,15	46.17944335	5.32277822			
189189	01350		Ceyzérieu		1	82	1	01073	814	39	1,51	45.8358345	5.72694396			
189190	01320		Chalamont		1	82	1	01074	1658	45	0,65	45.99638748	5.17194414			
189191	01480		Chaleins		1	82	1	01075	1025	44	1,85	46.03250122	4.80388879			
189192	01230		Chaley		1	82	1	01076	106	23	1,58	45.95444488	5.53194379			
189193	01450		Challes		1	82	1	01077	200	25	0,42	46.12638854	5.46333312			
189194	01630		Challex		1	82	1	01078	1057	112	2,12	46.18055725	5.9747219			
189195	01260		Champagne-en-Valromey		1	82	1	01079	674	37	1,17	45.90444564	5.67944383			
189196	01110		Champdor		1	82	1	01080	425	26	0,87	46.0186119	5.59555578			
189197	01410		Champfromier		1	82	1	01081	593	14	1,61	46.19583129	5.81111097			
189198	01420		Chanay		1	82	1	01082	573	23	1,5	46.00638961	5.78305578			
189199	01990		Chaneins		1	82	1	01083	560	38	1,68	46.09805679	4.85111093			
189200	01400		Chanoz-Châtenay		1	82	1	01084	492	35	1,06	46.18500137	5.02694416			
189201	01240		La Chapelle-du-Châtelard		1	82	1	01085	263	18	1,38	46.07055664	5.02527809			
189202	I_01414		Charancin		1	82	1	01086	0	0	1,09	45.933333	5.633333			
189203	01130		Charix		1	82	1	01087	265	14	1,16	46.18388748	5.68194389			
189204	01800		Charnoz-sur-Ain		1	82	1	01088	810	63	1,31	45.87166595	5.22361087			
189205	01500		Château-Gaillard		1	82	1	01089	1370	64	1,1	45.97277832	5.3036108			
189206	01320		Châtenay		1	82	1	01090	308	18	0,65	46.03555679	5.2005558			
189207	01200		Châtillon-en-Michaille		1	82	1	01091	2641	58	1,5	46.14444351	5.79750013			
189208	01320		Châtillon-la-Palud		1	82	1	01092	1074	62	1,39	45.97444534	5.25			
189209	01400		Châtillon-sur-Chalaronne		1	82	1	01093	4137	211	1,29	46.12166595	4.95583295			
189210	01190		Chavannes-sur-Reyssouze		1	82	1	01094	580	34	2,11	46.42944335	4.99138879			
189211	01250		Chavannes-sur-Suran		1	82	1	01095	485	19	1,14	46.26416778	5.42500019			
189212	01660		Chaveyriat		1	82	1	01096	810	45	0,98	46.19944381	5.06055593			
189213	01510		Chavornay		1	82	1	01097	174	23	1,31	45.88138961	5.71638917			
189214	01300		Chazey-Bons		1	82	1	01098	664	65	1,71	45.80333328	5.68222188			
189215	01150		Chazey-sur-Ain		1	82	1	01099	1200	41	1,36	45.89333343	5.25583314			
189216	01510		Cheignieu-la-Balme		1	82	1	01100	112	18	1,51	45.82722091	5.6086111			
189217	01430		Chevillard		1	82	1	01101	132	21	1,08	46.11000061	5.58055591			
189218	01190		Chevroux		1	82	1	01102	657	34	1,81	46.38055419	4.94666719			
189219	01170		Chevry		1	82	1	01103	803	126	2,35	46.2816658	6.03861093			
189220	01200		Chézery-Forens		1	82	1	01104	369	8	2,48	46.2219429	5.86472177			
189221	01410		Chézery-Forens		1	82	1	01104	369	8	2,48	46.2219429	5.86472177			
189222	01390		Civrieux		1	82	1	01105	1079	48	1,57	45.92139053	4.88222217			
189223	01250		Cize		1	82	1	01106	127	25	0,72	46.20583343	5.44472217			
189224	01230		Cleyzieu		1	82	1	01107	116	11	1,11	45.90750122	5.43027782			
189225	01270		Coligny		1	82	1	01108	1091	66	1,81	46.38444519	5.34472179			
189226	01550		Collonges		1	82	1	01109	1106	62	1,89	46.13888931	5.90194416			
189227	01300		Colomieu		1	82	1	01110	128	19	2,11	45.73361206	5.6216669			
189228	01230		Conand		1	82	1	01111	69	4	1,21	45.89277648	5.47333288			
189229	01430		Condamine		1	82	1	01112	285	53	0,76	46.11000061	5.54972219			
